"","SAMPLE_ID","GENUS","GENUS_NAME","CVM_NUMBER","GROWTH","SPECIES","SEROTYPE","ANTIGENIC_FORMULA","ISOLATE_ID","RECEIVED_DATE","PLATE","STATE","Month","Year","MEAT_TYPE","CUTS","SELLBY_DATE","ACQUISITION_DATE","COMPLETED_BY","ORGANIC_IND","ANTIBIOTIC_IND","COUNTRY_OF_ORIGIN","AGENCY","SOURCE","HOST_SPECIES","SOURCE_SPECIES_INFO","AMC.Sign","AMC","AMC.SIR","AMI.Sign","AMI","AMI.SIR","AMP.Sign","AMP","AMP.SIR","ATM.Sign","ATM","ATM.SIR","AXO.Sign","AXO","AXO.SIR","AZI.Sign","AZI","AZI.SIR","BAC.Sign","BAC","BAC.SIR","CAZ.Sign","CAZ","CAZ.SIR","CCV.Sign","CCV","CCV.SIR","CEP.Sign","CEP","CEP.SIR","CEQ.Sign","CEQ","CEQ.SIR","CHL.Sign","CHL","CHL.SIR","CIP.Sign","CIP","CIP.SIR","CLI.Sign","CLI","CLI.SIR","COT.Sign","COT","COT.SIR","CTC.Sign","CTC","CTC.SIR","CTX.Sign","CTX","CTX.SIR","DAP.Sign","DAP","DAP.SIR","DOX.Sign","DOX","DOX.SIR","ERY.Sign","ERY","ERY.SIR","FEP.Sign","FEP","FEP.SIR","FFN.Sign","FFN","FFN.SIR","FIS.Sign","FIS","FIS.SIR","FLA.Sign","FLA","FLA.SIR","FOX.Sign","FOX","FOX.SIR","GEN.Sign","GEN","GEN.SIR","IMI.Sign","IMI","IMI.SIR","KAN.Sign","KAN","KAN.SIR","LIN.Sign","LIN","LIN.SIR","LZD.Sign","LZD","LZD.SIR","MER.Sign","MER","MER.SIR","NAL.Sign","NAL","NAL.SIR","NIT.Sign","NIT","NIT.SIR","PEN.Sign","PEN","PEN.SIR","PTZ.Sign","PTZ","PTZ.SIR","QDA.Sign","QDA","QDA.SIR","SAL.Sign","SAL","SAL.SIR","SMX.Sign","SMX","SMX.SIR","STR.Sign","Str","STR.SIR","TEL.Sign","TEL","TEL.SIR","TET.Sign","TET","TET.SIR","TGC.Sign","TGC","TGC.SIR","TIO.Sign","TIO","TIO.SIR","TYL.Sign","TYL","TYL.SIR","VAN.Sign","VAN","VAN.SIR","APR.Sign","APR","DAN.Sign","DAN","DIF.Sign","DIF","EFX.Sign","EFX","GAT.Sign","GAT","LVX.Sign","LVX","MAR.Sign","MAR","OBX.Sign","OBX","TIC.Sign","TIC","GENOTYPE","ACCESSION_NUMBER","Aminoglycoside.Resist.Genes","Beta.lactam.Resist.Genes","Glycopeptide.Resist.Genes","Macrolide.Resist.Genes","QAC.Resist.Genes","Quinolone.Resist.Genes","Sulfonamide.Resist.Genes","Tetracycline.Resist.Genes","Trimethoprim.Resist.Genes","Phenicol.Resist.Genes","Other.Classes.Resist.Genes","cefres"
"78","03CASEPGT084","S","Salmonella","33000","YES","","Newport","","03CASEPGT084-S","","CMV7CNCD","CA",9,2003,"GT","","9/24/03","9/15/03","","","","","FDA","Retail Ground Turkey","Turkeys","","=",2,"S","=",4,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"=",4,"S","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",2,"S","=",16,"R","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",512,"R","=",64,"R","",NA,"","<=",4,"S","",NA,"","=",0.5,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"86","07CA01CB09","S","Salmonella","N13147","YES","","Kentucky","","07CA01CB09-S","10/17/07","CMV1AGNF","CA",1,2007,"CB","","1/27/07","1/22/07","MR","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",4,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",2,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"88","07CA01GT02","S","Salmonella","N13148","YES","","Reading","","07CA01GT02-S","10/17/07","CMV1AGNF","CA",1,2007,"GT","","2/4/07","1/22/07","MR","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",4,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"89","07CA01GT08","S","Salmonella","N13149","YES","","Reading","","07CA01GT08-S","10/17/07","CMV1AGNF","CA",1,2007,"GT","","2/4/07","1/22/07","MR","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",4,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",4,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"94","07CA02CB05","S","Salmonella","N13150","YES","","Heidelberg","","07CA02CB05-S","10/17/07","CMV1AGNF","CA",2,2007,"CB","CUT/ GROUND","2/12/07","2/11/07","MR","NO","","","FDA","Retail Chickens","Chickens","CUT/GROUND","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",16,"I","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",4,"S",">",16,"R","",NA,"",">",64,"R","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"",">",32,"R","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"98","07CA02GT10","S","Salmonella","N13151","YES","","Albany","","07CA02GT10-S","10/17/07","CMV1AGNF","CA",2,2007,"GT","","2/13/07","2/11/07","MR","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",4,"S","=",16,"R","",NA,"","=",32,"I","",NA,"","",NA,"","",NA,"","=",2,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"99","07CA02PC01","S","Salmonella","N13152","YES","","Mbandaka","I  6,7:z10:e,n,z15","07CA02PC01-S","10/17/07","CMV1AGNF","CA",2,2007,"PC","CUT/ GROUND","","2/11/07","MR","NO","","","FDA","Retail Pork Chops","Swine","CUT/GROUND","<=",1,"S","=",4,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",64,"S","",NA,"","=",4,"S","=",1,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"103","07CA03CB05","S","Salmonella","N13153","YES","","Livingstone","","07CA03CB05-S","10/17/07","CMV1AGNF","CA",3,2007,"CB","CUT/ GROUND","3/28/07","3/26/07","MR","NO","","","FDA","Retail Chickens","Chickens","CUT/GROUND","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"106","07CA03CB09","S","Salmonella","N13154","YES","","Montevideo","","07CA03CB09-S","10/17/07","CMV1AGNF","CA",3,2007,"CB","","4/4/07","3/26/07","MR","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","=",2,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","=",0.03,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",256,"R","",NA,"","=",4,"S",">",16,"R","",NA,"","=",16,"S","",NA,"","",NA,"","",NA,"","=",8,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"",">",64,"R","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"113","07CA04CB04","S","Salmonella","N14606","YES","","Typhimurium","I  4,5,12:i1,2","07CA04CB04-S","9/17/07","CMV1AGNF","CA",4,2007,"CB","","4/21/07","4/16/07","MR","NO","","","FDA","Retail Chickens","Chickens","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","=",0.25,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",2,"S","<=",0.25,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
"120","07CA04GT05","S","Salmonella","N14607","YES","","Reading","I  6,8:e,h:1,2","07CA04GT05-S","9/17/07","CMV1AGNF","CA",4,2007,"GT","","4/23/07","4/16/07","MR","NO","","","FDA","Retail Ground Turkey","Turkeys","","<=",1,"S","=",2,"S","<=",1,"S","",NA,"","<=",0.25,"S","",NA,"","",NA,"","",NA,"","",NA,NA,"",NA,"","",NA,NA,"=",8,"S","<=",0.015,"S","",NA,"","<=",0.125,"S","",NA,NA,"",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","=",32,"S","",NA,"","=",4,"S","=",0.5,"S","",NA,"","<=",8,"S","",NA,"","",NA,"","",NA,"","=",4,"S","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","",NA,"","<=",32,"S","",NA,"","<=",4,"S","",NA,"","=",1,"S","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"","","","","",NA,"N"
